Date; Amount ;Category;Subcategory;Description
30.07.2014;-30,00р. ;Еда;Перекус;
30.07.2014;-251,00р. ;Еда;Обед;
30.07.2014;-62,00р. ;Еда;Магазин;
30.07.2014;-9,00р. ;Лекарства;Аптека;
31.07.2014;-30,00р. ;Еда;Перекус;
31.07.2014;-290,00р. ;Еда;Обед;
31.07.2014;-1 214,00р. ;Еда;Магазин;
31.07.2014;-2 450,00р. ;Ребёнок;Вещи;
01.08.2014;-35,00р. ;Еда;Перекус;
01.08.2014;-250,00р. ;Еда;Обед;
01.08.2014; 74 840,00р. ;Income;Зарплата;
02.08.2014; -678.00 ;Еда;Магазин;
02.08.2014; -1182.00 ;Ребёнок;Вещи;
03.08.2014;-1 244,00р. ;Еда;Магазин;
04.08.2014;-1 000,00р. ;Авто;Бензин;
04.08.2014;-35,00р. ;Еда;Перекус;
04.08.2014;-155,00р. ;Еда;Перекус;
04.08.2014;-300,00р. ;Еда;Обед;
04.08.2014;-1 600,00р. ;Ребёнок;Вещи;
05.08.2014;-374,00р. ;Еда;Обед;
05.08.2014;-30,00р. ;Еда;Перекус;
05.08.2014;-800,00р. ;Авто;Документы;
05.08.2014;-600,00р. ;Авто;Запчасти;
05.08.2014; -7392.00 ;Авто;Документы;Страховка
05.08.2014;-1 100,00р. ;Еда;Магазин;
05.08.2014;-2 100,00р. ;Ребёнок;Вещи;
05.08.2014;-873,00р. ;Еда;Магазин;
06.08.2014;-280,00р. ;Еда;Обед;
07.08.2014;-298,00р. ;Еда;Обед;
07.08.2014;-692,00р. ;Еда;Магазин;
07.08.2014;-1 279,00р. ;Лекарства;Аптека;
08.08.2014;-309,00р. ;Еда;Обед;
08.08.2014;-65,00р. ;Еда;Перекус;
08.08.2014;-1 000,00р. ;Авто;Бензин;
08.08.2014;-600,00р. ;Проезд;Такси;
08.08.2014;-100,00р. ;Лекарства;Аптека;
09.08.2014;-6 463,00р. ;Квартплата;Мама;
09.08.2014;-2 592,00р. ;Квартплата;Мама;
10.08.2014; -517.00 ;Еда;Магазин;
10.08.2014;-1 007,00р. ;Еда;Магазин;
11.08.2014;-256,00р. ;Еда;Обед;
11.08.2014;-57,00р. ;Еда;Перекус;
11.08.2014;-175,00р. ;Еда;Магазин;
12.08.2014;-261,00р. ;Еда;Обед;
12.08.2014;-119,00р. ;Еда;Магазин;
13.08.2014;-295,00р. ;Еда;Обед;
13.08.2014;-250,00р. ;Авто;Ремонт;
13.08.2014;-1 266,00р. ;Еда;Магазин;
13.08.2014;-2 000,00р. ;Ребёнок;Вещи;
13.08.2014;-600,00р. ;Сотовый;Другой;
14.08.2014;-35,00р. ;Еда;Перекус;
14.08.2014;-300,00р. ;Сотовый;Мой;
14.08.2014;-265,00р. ;Еда;Обед;
14.08.2014;-450,00р. ;Прочее;Прочее;
14.08.2014;-172,00р. ;Еда;Магазин;
15.08.2014;-150,00р. ;Прочее;Прочее;ксерокопии
15.08.2014;-299,00р. ;Еда;Обед;
15.08.2014;-65,00р. ;Еда;Перекус;
15.08.2014; 40 000,00р. ;Income;Зарплата;
15.08.2014;-1 000,00р. ;Авто;Бензин;
16.08.2014;-1 578,00р. ;Еда;Магазин;
18.08.2014;-305,00р. ;Еда;Обед;
18.08.2014;-349,00р. ;Еда;Магазин;
18.08.2014;-2 200,00р. ;Ребёнок;Вещи;
19.08.2014;-35,00р. ;Еда;Перекус;
19.08.2014;-320,00р. ;Еда;Обед;
19.08.2014;-80,00р. ;Еда;Магазин;
20.08.2014;-282,00р. ;Еда;Обед;
20.08.2014; -736.5 ;Еда;Магазин;
21.08.2014;-1 000,00р. ;Авто;Бензин;
21.08.2014;-35,00р. ;Еда;Перекус;
21.08.2014;-283,00р. ;Вещи;Техника;ибей
21.08.2014;-297,00р. ;Вещи;Техника;ибей
21.08.2014;-379,00р. ;Вещи;Техника;ибей
21.08.2014;-260,00р. ;Вещи;Техника;ибей
22.08.2014;-281,00р. ;Еда;Обед;
22.08.2014;-71,00р. ;Еда;Перекус;
23.08.2014;-2 316,00р. ;Еда;Магазин;
23.08.2014; -915.5 ;Вещи;Техника;тиксер
23.08.2014;-1 100,00р. ;Еда;Магазин;
25.08.2014;-508,00р. ;Вещи;Техника;ибей
25.08.2014;-300,00р. ;Сотовый;Другой;
25.08.2014;-1 700,00р. ;Еда;Магазин;
25.08.2014;-261,00р. ;Еда;Обед;
25.08.2014;-1 515,00р. ;Авто;Штрафы;
25.08.2014;-890,00р. ;Еда;Магазин;
25.08.2014;-1 100,00р. ;Ребёнок;Вещи;
26.08.2014;-35,00р. ;Еда;Перекус;
26.08.2014;-264,00р. ;Еда;Обед;
26.08.2014;-5 300,00р. ;Ребёнок;Вещи;
27.08.2014;-1 000,00р. ;Авто;Бензин;
27.08.2014;-500,00р. ;Квартплата;Другое;интернет
27.08.2014;-40,00р. ;Еда;Перекус;
27.08.2014;-293,00р. ;Еда;Обед;
27.08.2014;-58,00р. ;Еда;Перекус;
27.08.2014;-4 500,00р. ;Ребёнок;Вещи;
28.08.2014;-302,00р. ;Еда;Обед;
28.08.2014;-1 479,00р. ;Еда;Магазин;
28.08.2014;-479,00р. ;Лекарства;Аптека;жидкость для линз
